,Chemform,N,RMSAD (SQS)
0,NbTaMoWRu,5,0.063814862
1,TiZrHfVNb,5,0.319350917
2,WNbTaMoV,5,0.066301038
3,VTaMoWRe,5,0.045432622
4,HfMo3V2Ta2Nb2,5,0.098663052
5,HfMoVZrW,5,0.218454715
6,NbHf3,2,0.302905835
7,NbHf2,2,0.24208043
8,HfNb,2,0.174437895
9,HfNb2,2,0.141629219
10,HfNb3,2,0.113614404
11,HfTaNbMoV,5,0.136766629
12,HfTaRe,3,0.121192741
13,HfTaRe2,3,0.080589869
14,HfTiTaReRu,5,0.137253046
15,HfTiVTaNb,5,0.181935306
16,HfV3Ta2Nb2Mo2,5,0.130163962
17,HfVMo,3,0.176929735
18,HfVMo2,3,0.14539398
19,MoHf3Ta2Nb2V2,5,0.178309811
20,MoHfV2,3,0.17471419
21,MoRe3V2Nb2Ta2,5,0.056864313
22,MoReNb2,3,0.054231537
23,MoVNb2,3,0.072257945
24,MoW3V2Nb2Ta2,5,0.064659325
25,MoWTi2,3,0.088350956
26,MoWV2,3,0.047088237
27,WMo7,2,0.00779319
28,WMo3,2,0.0080329
29,MoW,2,0.007097004
30,MoW3,2,0.01398553
31,MoW7,2,0.018420877
32,ZrNb3,2,0.112137351
33,NbMoRe,3,0.036888669
34,NbMoRe2,3,0.048941946
35,NbMoV2,3,0.073393733
36,W3NbMoRu,4,0.060735863
37,MoNb3,2,0.057560813
38,MoNb2,2,0.050300563
39,NbMo,2,0.059430015
40,NbMo2,2,0.041444521
41,NbMo3,2,0.03695057
42,RuNb7,2,0.056159538
43,RuNb3,2,0.077026482
44,RuNb2,2,0.109485755
45,NbTa3Mo2Re2V2,5,0.057001042
46,NbTa3Mo2W2V2,5,0.057988336
47,NbTa3V2W2Ru2,5,0.073337942
48,NbTaV2,3,0.094398653
49,NbTaVWRu,5,0.068845752
50,TaNb2W2Ru,4,0.058600228
51,Nb3TaWRu,4,0.054459249
52,TaNb7,2,0.02285559
53,TaNb3,2,0.030517693
54,NbTa,2,0.042644499
55,NbTa3,2,0.049347693
56,NbTa7,2,0.048533393
57,WNb3,2,0.051669198
58,WNb2,2,0.060818874
59,NbW,2,0.037506515
60,NbW2,2,0.02990027
61,NbW3,2,0.032547198
62,NbZr,2,0.17455822
63,NbZr3,2,0.239137998
64,NbZrW2,3,0.08864479
65,ReHfTa2,3,0.108348559
66,ReNbMo2,3,0.030506472
67,ReV3Nb2Ru2Ta2,5,0.093791219
68,ReV3Nb2Ta2Mo2,5,0.083207642
69,RuNb3Re2V2Ta2,5,0.078863178
70,RuNb3Ta2V2W2,5,0.070652613
71,RuTaNbVTi,5,0.113971764
72,TaHf3Ti2V2Nb2,5,0.229446942
73,TaMo3Re2V2Nb2,5,0.057091857
74,TaMo3W2V2Nb2,5,0.054008496
75,TaMoWRe,4,0.031770248
76,W3TaMoRe,4,0.026487835
77,MoTa2W2Re,4,0.040458032
78,WMoTaRu,4,0.084188117
79,W3TaMoRu,4,0.062140057
80,TaMo2W2Ru,4,0.068178868
81,MoTa7,2,0.053145702
82,MoTa3,2,0.059578281
83,TaMo,2,0.052465789
84,TaMo3,2,0.040721858
85,TaMo7,2,0.030149468
86,TaNbMoW,4,0.040114703
87,W3TaNbMo,4,0.031233191
88,MoTa2Nb2W,4,0.048905881
89,Ta3NbMoW,4,0.045562122
90,TaRe3Nb2Ru2V2,5,0.119695214
91,TaReHf2,3,0.187383597
92,ReTa7,2,0.055303699
93,ReTa3,2,0.057440187
94,TaRe,2,0.049978494
95,TaTi3W2Nb2V2,5,0.110479774
96,TaV3W2Ru2Nb2,5,0.078688995
97,TaVNb2,3,0.078435302
98,TaWReHfNb,5,0.111025937
99,TiHfVTaW,5,0.163532226
100,TiNbRu,3,0.118164332
101,RuTiNb2,3,0.1151686
102,TiNbTaVW,5,0.10013694
103,TiNbWRe,4,0.055788089
104,W3TiNbRe,4,0.037211862
105,TiNb2W2Re,4,0.048859086
106,Nb3TiWRe,4,0.056946807
107,TiNbWRu,4,0.084805589
108,W3TiNbRu,4,0.057956432
109,TiNb2W2Ru,4,0.062547144
110,Nb3TiWRu,4,0.077434307
111,TiNbW,3,0.078328709
112,TiNbW2,3,0.052489389
113,WTiNb2,3,0.062195471
114,Nb2TiW2,3,0.060839229
115,WNbTi2,3,0.087729277
116,Ti2WNb2,3,0.092051535
117,NbTi2,2,0.189740844
118,TiNb,2,0.103225908
119,TiNb2,2,0.062479632
